1, Efficient Solutions, 240-419-00-04, Nikola Nowakowska, efficientsolutions@gmail.com, 255306111, Carpentry, between 1981-2000, between 1-5, EPA Lead-Safe Certification, between 16-50, between 101-500
467, Elite Projects, 909-749-09-07, Szymon Wlodarczyk, eliteprojects@gmail.com, 126186229, Painting, between 1951-1980, over 200, Six Sigma Certification, between 16-50, between 101-500
468, Ace Works, 970-135-00-01, Krzysztof Kowalski, aceworks@gmail.com, 847643711, Painting, between 1981-2000, between 6-15, AWS Certified Solutions Architect, over 50, between 6-20
469, High-Quality Design, 519-397-09-03, Julian Zajac, high-qualitydesign@gmail.com, 157906675, Plumbing, between 1900-1950, over 200, Six Sigma Certification, over 50, between 21-100
470, Leading Builders, 784-726-04-07, Dominika Tomczak, leadingbuilders@gmail.com, 586847000, Interior Design, between 1900-1950, over 200, Six Sigma Certification, between 16-50, between 6-20
471, Innovative Experts, 982-667-02-06, Aleksander Pietrzak, innovativeexperts@gmail.com, 622859009, Electrical, between 1951-1980, between 16-50, LEED Certification, over 50, between 101-500
472, Exquisite Architectural, 456-526-06-05, Alan Szymanski, exquisitearchitectural@gmail.com, 787362363, Flooring, between 1981-2000, between 6-15, First Aid Certification, between 6-15, between 101-500
473, Elite Builders, 173-103-03-01, Adrianna Olszewska, elitebuilders@gmail.com, 708637515, Electrical, between 1981-2000, over 200, First Aid Certification, between 0-5, more than 500
474, Construction Works, 994-284-04-02, Nadia Nowak, constructionworks@gmail.com, 930739116, Flooring, between 1951-1980, between 1-5, PMP Certification, between 0-5, more than 500
475, Best Design, 466-385-06-03, Martyna Marciniak, bestdesign@gmail.com, 487162329, Carpentry, between 2001-2024, between 50-200, Certified ScrumMaster, between 0-5, between 0-5
476, Superior Designs, 943-412-03-04, Adam Zielinski, superiordesigns@gmail.com, 918145876, Flooring, between 1951-1980, between 6-15, PMP Certification, over 50, between 21-100
477, Advanced Architectural, 990-189-00-01, Karol Olszewski, advancedarchitectural@gmail.com, 485055309, Interior Design, between 2001-2024, over 200, Certified ScrumMaster, over 50, between 6-20
478, Expert Renovation, 706-762-06-07, Alicja Dudek, expertrenovation@gmail.com, 323186825, Interior Design, between 1900-1950, between 1-5, CompTIA Security+, over 50, between 6-20
479, Construction Solutions, 769-551-09-05, Andrzej Kucharski, constructionsolutions@gmail.com, 600021356, Interior Design, between 1900-1950, between 6-15, Six Sigma Certification, between 6-15, between 6-20
480, Expert Master, 339-632-09-06, Wojciech Witkowski, expertmaster@gmail.com, 289309050, Interior Design, between 2001-2024, between 6-15, PMP Certification, between 6-15, between 6-20
481, Inspiration Structural, 638-657-08-06, Tomasz Wozniak, inspirationstructural@gmail.com, 660117496, Electrical, between 1981-2000, between 1-5, Six Sigma Certification, over 50, between 6-20
482, Advanced Renovation, 274-753-04-07, Sebastian Pietrzak, advancedrenovation@gmail.com, 344961204, Painting, between 1951-1980, between 16-50, Certified ScrumMaster, between 0-5, between 21-100
483, Efficient Innovations, 626-377-06-03, Marta Kaminska, efficientinnovations@gmail.com, 915087286, Flooring, between 1900-1950, between 6-15, EPA Lead-Safe Certification, between 0-5, between 0-5
484, Great Solutions, 970-679-00-06, Rafal Walczak, greatsolutions@gmail.com, 684603413, Carpentry, between 1900-1950, between 16-50, CompTIA Security+, between 16-50, between 6-20
485, Superior Design, 880-989-00-09, Alan Kozlowski, superiordesign@gmail.com, 301341183, Masonry, between 2001-2024, between 1-5, First Aid Certification, between 0-5, more than 500
486, Prime Pros, 973-475-03-04, Adrianna Michalak, primepros@gmail.com, 718198279, Painting, between 1900-1950, between 1-5, Cisco Certified Network Associate, over 50, between 6-20
487, Renovation Renovators, 640-458-00-04, Monika Jasinska, renovationrenovators@gmail.com, 567695968, Electrical, between 1900-1950, between 1-5, PMP Certification, over 50, between 101-500
488, Eminent Excellence, 834-328-04-03, Beata Walczak, eminentexcellence@gmail.com, 218453186, Carpentry, between 1900-1950, between 6-15, LEED Certification, between 6-15, between 0-5
489, Ace Contractors, 423-268-03-02, Izabela Wisniewska, acecontractors@gmail.com, 193092505, Flooring, between 2001-2024, over 200, PMP Certification, between 0-5, between 101-500
490, Remodeling Master, 276-793-06-07, Aleksandra Dudek, remodelingmaster@gmail.com, 912831387, Masonry, between 1981-2000, over 200, CompTIA Security+, between 0-5, between 6-20
491, Premier Contractors, 125-850-05-08, Marcin Kwiatkowski, premiercontractors@gmail.com, 854093676, Landscaping, between 1981-2000, between 16-50, Six Sigma Certification, between 16-50, more than 500
492, Professional Excellence, 377-278-07-02, Julia Wrobel, professionalexcellence@gmail.com, 288765339, HVAC, between 1900-1950, between 6-15, PMP Certification, between 16-50, between 6-20
493, Advanced Renovators, 941-651-01-06, Leszek Kaczmarczyk, advancedrenovators@gmail.com, 830301124, Electrical, between 1981-2000, between 16-50, First Aid Certification, over 50, more than 500
494, Advanced Renovators, 214-998-04-09, Karol Lewandowski, advancedrenovators@gmail.com, 943342558, Plumbing, between 1951-1980, between 16-50, EPA Lead-Safe Certification, between 6-15, between 101-500
495, Craftsman Construction, 986-983-06-09, Oskar Michalski, craftsmanconstruction@gmail.com, 488069823, Renovation, between 1951-1980, between 16-50, LEED Certification, over 50, between 101-500
496, Remodeling Building, 536-123-06-01, Arkadiusz Michalak, remodelingbuilding@gmail.com, 495742589, Masonry, between 1951-1980, between 50-200, LEED Certification, between 6-15, more than 500
497, Ace Remodeling, 626-498-06-04, Andrzej Olszewski, aceremodeling@gmail.com, 310071737, Painting, between 1951-1980, between 50-200, EPA Lead-Safe Certification, between 6-15, more than 500
498, Premier Crafters, 513-919-03-09, Oskar Szewczyk, premiercrafters@gmail.com, 310395441, Renovation, between 2001-2024, between 1-5, OSHA 30-Hour Certification, between 6-15, between 21-100
499, Professional Finishing, 244-125-04-01, Mikolaj Pietrzak, professionalfinishing@gmail.com, 498021775, Renovation, between 1951-1980, between 50-200, AWS Certified Solutions Architect, between 0-5, between 6-20
500, Eminent Structural, 654-324-04-03, Marzena Wrobel, eminentstructural@gmail.com, 886613211, Painting, between 1981-2000, between 16-50, EPA Lead-Safe Certification, between 6-15, between 6-20
